season,hindcast_hours,target_hours,paired,target_hours_unpaired,in_big_wave_season,with_wind,with_offshore_observation,gold_day_rows,target_ge_2m,target_ge_3m,target_ge_4m,target_ge_5m,target_ge_6m,target_ge_7m,target_ge_8m
2009,0,942,0,942,0,0,0,0,0,0,0,0,0,0,0
2010,6552,4262,2989,1273,253,2989,2075,0,998,165,18,1,0,0,0
2011,8784,7906,7906,0,4164,7904,4533,24,2922,943,353,167,53,11,4
2012,8760,3901,3901,0,730,3901,431,0,1664,582,128,2,0,0,0
2013,8760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8760,5920,5920,0,3244,5920,1943,24,3079,1462,563,206,70,14,1
2015,8784,3538,3538,0,3538,3536,3346,72,2520,1395,600,182,53,27,3
2016,8760,2138,2138,0,0,2138,80,0,556,61,2,0,0,0,0
2017,8760,5361,5361,0,4361,5359,5353,96,3434,1784,854,295,86,29,7
2018,8760,7059,7059,0,4298,7057,5618,118,3628,1723,587,144,33,17,9
2019,8784,5609,5609,0,2590,5609,218,48,2604,1112,526,188,57,15,1
2020,8760,8441,8441,0,4328,8439,1188,24,3751,1633,617,196,89,47,13
2021,8760,5023,5023,0,1520,5021,4374,24,1635,310,25,0,0,0,0
2022,8760,8063,8063,0,3944,8061,8052,0,3462,1224,346,127,48,12,0
2023,8784,3219,3219,0,3219,3217,3211,24,1919,959,322,145,80,26,16
2024,8760,2841,2841,0,1607,2841,2078,24,1379,685,290,130,83,44,21
2025,4872,2343,1593,750,1593,846,0,24,1214,807,465,237,88,41,10
